# 1)  One-letter code
# 2)  Three-letter code
# 3)  Name
# 4)  Chou-Fasman code for helix propensity
# 5)  Chou-Fasman code for sheet propensity
# 6)  Chou-Fasman helix propensity values
# 7)  Chou-Fasman sheet propensity values
# 8)  Amino acid molecular weight
# 9)  pKa value for free amino acid carboxylate
# 10) pKa value for free amino acid amine
# 11) pKa value for amino acid side chain 
# 12) Number of carbon atoms in amino acid
# 13) Number of hydrogen atoms in amino acid zwitterion 
# 14) Number of nitrogen atoms in amino acid
# 15) Number of oxygen atoms in amino acid
# 16) Number of sulfur atoms in amino acid
# 17) Area in the standard state (standard state accessibility is defined
#         as the average surface area that residue has in a ensemble 
#         of Gly-X-Gly tripeptides)
# 18) Average accessible area in proteins
# 19) Average are buried upon transfer from the standard state to the folded protein.
# 20) Mean fractional area loss, equal to the average area buried normalized
#         by the standard state area
# 21) Residue mass
# 22) Monoisotopic Mass
A,  ALA ,  Alanine       ,  H,  I   ,1.45  ,0.97   ,89.09  ,2.3 ,9.9   ,None,3 ,7 ,1,2,0,118.1,31.5 ,86.6 ,.74,71.08 ,71.03711
C,  CYS ,  Cysteine      ,  i,  h   ,0.77  ,1.30   ,121.16 ,1.8 ,10.8  ,8.65,3 ,7 ,1,2,1,146.1,13.9 ,132.3,.91,103.14,103.00919
D,  ASP ,  Aspartic Acid ,  i,  i   ,0.98  ,0.80   ,133.10 ,2.0 ,10.0  ,4.04,4 ,7 ,1,4,0,158.7,60.9 ,97.8 ,.62,115.09,115.02694
E,  GLU ,  Glutamic Acid ,  H,  B   ,1.53  ,0.26   ,147.13 ,2.2 ,9.7   ,4.39,5 ,9 ,1,4,0,186.2,72.3 ,113.9,.62,129.12,129.04259
F,  PHE ,  Phenylalanine ,  h,  h   ,1.12  ,1.28   ,165.19 ,1.8 ,9.1   ,None,9 ,11,1,2,0,222.8,28.7 ,194.1,.88,147.18,147.06841
G,  GLY ,  Glycine       ,  B,  i   ,0.53  ,0.81   ,75.07  ,2.4 ,9.8   ,None,2 ,5 ,1,2,0,88.1 ,25.2 ,62.9 ,.72,57.05 ,57.02146
H,  HIS ,  Histidine     ,  h,  b   ,1.24  ,0.71   ,155.16 ,1.8 ,9.2   ,6.75,6 ,9 ,3,2,0,202.5,46.7 ,155.8,.78,137.14,137.05891
I,  ILE ,  Isoleucine    ,  I,  H   ,1.00  ,1.60   ,131.17 ,2.4 ,9.7   ,None,6 ,13,1,2,0,181  ,23   ,158  ,.88,113.16,113.08406
K,  LYS ,  Lysine        ,  I,  b   ,1.07  ,0.74   ,146.19 ,2.2 ,9.2   ,11.0,6 ,14,2,2,0,225.8,110.3,115.5,.52,128.17,128.09496
L,  LEU ,  Leucine       ,  H,  h   ,1.34  ,1.22   ,131.17 ,2.4 ,9.60  ,None,6 ,13,1,2,0,193.1,29   ,164.1,.85,113.16,113.08406
M,  MET ,  Methionine    ,  h,  H   ,1.20  ,1.67   ,149.21 ,2.3 ,9.2   ,None,5 ,11,1,2,1,203.4,30.5 ,172.9,.85,131.19,131.04049
N,  ASN ,  Asparagine    ,  b,  b   ,0.73  ,0.65   ,132.12 ,2.0 ,8.8   ,None,4 ,8 ,2,3,0,165.5,62.2 ,103.3,.63,114.10,114.04293
P,  PRO ,  Proline       ,  B,  b   ,0.59  ,0.62   ,115.13 ,2.0 ,10.6  ,None,5 ,9 ,1,2,0,146.8,53.7 ,92.9 ,.64,97.12 ,97.05276
Q,  GLN ,  Glutamine     ,  h,  h   ,1.17  ,1.23   ,146.15 ,2.2 ,9.1   ,None,5 ,10,2,3,0,193.2,74   ,119.2,.62,128.13,128.05858
R,  ARG ,  Arginine      ,  i,  i   ,0.79  ,0.90   ,174.20 ,1.8 ,9.0   ,12.5,6 ,14,4,2,0,256  ,93.8 ,162.2,.64,156.19,156.10111
S,  SER ,  Serine        ,  i,  b   ,0.79  ,0.72   ,105.09 ,2.1 ,9.2   ,None,3 ,7 ,1,3,0,129.8,44.2 ,85.6 ,.66,87.08 ,87.03203
T,  THR ,  Threonine     ,  i,  h   ,0.82  ,1.20   ,119.12 ,2.6 ,10.4  ,None,4 ,9 ,1,3,0,152.5,46   ,106.5,.70,101.11,101.04768
V,  VAL ,  Valine        ,  h,  H   ,1.14  ,1.65   ,117.15 ,2.3 ,9.6   ,None,5 ,11,1,2,0,164.5,23.5 ,141  ,.86,99.13 ,99.06841
W,  TRP ,  Tryptophan    ,  h,  h   ,1.14  ,1.19   ,204.22 ,2.4 ,9.4   ,None,11,12,2,2,0,266.3,41.7 ,224.6,.85,186.21,186.07931
Y,  TYR ,  Tyrosine      ,  b,  h   ,0.61  ,1.29   ,181.19 ,2.20,9.1   ,9.75,9 ,11,1,3,0,236.8,59.1 ,177.7,.76,163.18,163.06333
